X,Y,OBJECTID,GlobalID,case_number,crime_category,crime_code,crime_description,crime_type,reported_block_address,city_of_incident,city,district,reported_date,reported_year,reported_month,reported_day,reported_hour,reported_dayofwk,latitude,longitude,agency,updated_date
-8754076.95451578,4270126.40799781,667711,2f9e90f8-61f0-4567-9ebd-4e97285c9103,P22006995,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,200 BLOCK FAYETTEVILLE ST,RALEIGH,RALEIGH,Downtown,2022/02/08 13:06:00+00,2022,2,8,8,Tuesday,35.778065987,-78.639211266,RPD,2022/02/10 05:30:51.403+00
-8766268.58243707,4285180.23156325,667722,0db329ea-384b-476d-8dc3-44945bb57387,P22007022,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,8200 BLOCK BROWNLEIGH DR,RALEIGH,RALEIGH,Northwest,2022/02/08 15:43:00+00,2022,2,8,10,Tuesday,35.8877013420001,-78.7487305229999,RPD,2022/02/09 14:09:10.927+00
-8752067.70884011,4276221.74876093,667728,8ebf4e67-3730-4a39-adce-8e050cc50be7,P22007029,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,1200 BLOCK WAKE TOWNE DR,RALEIGH,RALEIGH,Northeast,2022/02/08 16:06:00+00,2022,2,8,11,Tuesday,35.8224759390001,-78.621161905,RPD,2022/02/10 14:40:04.387+00
-8757281.94852055,4283861.64097787,667729,d6e3e2c5-4cb0-4bdc-8782-80e895679e9a,P22007034,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,7000 BLOCK VALLEY LAKE DR,RALEIGH,RALEIGH,Northwest,2022/02/08 15:56:00+00,2022,2,8,10,Tuesday,35.878104245,-78.668002217,RPD,2022/02/09 14:06:33.017+00
-8769468.70510093,4288190.97259934,667731,69efafc3-0011-403d-9352-680df9f29e5a,P22007037,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,10000 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Northwest,2022/02/08 16:46:00+00,2022,2,8,11,Tuesday,35.9096100570001,-78.777477714,RPD,2022/02/09 03:46:20.353+00
-8750617.91941426,4278027.11546635,667743,22c89d95-3393-477d-9530-588482a675b1,P22007063,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,1800 BLOCK NEW HOPE CHURCH RD,RALEIGH,RALEIGH,North,2022/02/08 18:52:00+00,2022,2,8,13,Tuesday,35.835624867,-78.6081382249999,RPD,2022/08/09 19:59:24.907+00
-8752250.5822732,4276194.67244833,667747,dcaac2e8-478f-4b8f-86c3-80f110b30ba4,P22007075,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,3000 BLOCK WAKE FOREST RD,RALEIGH,RALEIGH,Northeast,2022/02/08 19:40:00+00,2022,2,8,14,Tuesday,35.8222787190001,-78.6228046849999,RPD,2022/02/09 03:47:25.753+00
-8764615.18710221,4287072.8706298,667749,8c0e9117-7954-4e08-b262-8517c5961921,P22007082,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,8600 BLOCK COLVILLE CT,RALEIGH,RALEIGH,Northwest,2022/02/08 21:02:00+00,2022,2,8,16,Tuesday,35.901474503,-78.73387782,RPD,2022/02/13 20:45:37.140+00
-8751069.31950415,4278170.508473,667752,c2a3f90d-69b7-496f-bbdd-bcfebc3709ce,P22007089,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,1700 BLOCK NEW HOPE CHURCH RD,RALEIGH,RALEIGH,North,2022/02/08 20:55:00+00,2022,2,8,15,Tuesday,35.83666914,-78.612193221,RPD,2022/02/10 05:33:23.587+00
-8754643.99574173,4279557.60201302,667759,18a0618f-25fb-4338-8c16-0bb2d9123844,P22007099,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,4800 BLOCK SIX FORKS RD,RALEIGH,RALEIGH,North,2022/02/08 22:06:00+00,2022,2,8,17,Tuesday,35.8467700690001,-78.6443050839999,RPD,2022/03/06 22:33:57.710+00
-8758233.5106448,4278578.48581328,667764,6db4c192-eaed-49af-b33e-4448f1f137c4,P22006298,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4300 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Northwest,2022/02/04 22:32:00+00,2022,2,4,17,Friday,35.839640198,-78.676550245,RPD,2022/02/10 18:02:54.550+00
-8758423.69676655,4278811.65067477,667770,32fd6791-e618-4af9-aa45-cd41265ccb80,P22007031,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,4500 BLOCK MARRIOTT DR,RALEIGH,RALEIGH,Northwest,2022/02/08 16:12:00+00,2022,2,8,11,Tuesday,35.8413381500001,-78.678258716,RPD,2022/02/13 20:33:52.287+00
-8754964.04796069,4271488.07696641,667771,2514b823-9bd7-45c7-b1ab-a80508d0a73c,P22007032,LARCENY,35A,Larceny/Pocket-Picking,CRIMES AGAINST PROPERTY,600 BLOCK GLENWOOD AV,RALEIGH,RALEIGH,Downtown,2022/02/08 16:16:00+00,2022,2,8,11,Tuesday,35.7879891040001,-78.647180162,RPD,2022/02/19 20:31:15.733+00
-8755151.42538037,4262961.09833102,667783,01a203d6-0b8f-495d-87d9-4ac89ec67413,P22007184,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,3900 BLOCK S WILMINGTON ST,RALEIGH,RALEIGH,Southeast,2022/02/09 11:50:00+00,2022,2,9,6,Wednesday,35.725828628,-78.648863402,RPD,2022/02/11 02:17:08.713+00
-8746194.95158744,4272986.26063609,667791,724d6018-e3b6-4cb6-b604-a664cfec3b75,P22007216,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4000 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/02/09 14:46:00+00,2022,2,9,9,Wednesday,35.798905636,-78.568406029,RPD,2023/02/18 13:25:29.283+00
-8746439.99840329,4272986.89500246,667794,9fd2a5c1-9249-416d-b57c-a7a657a541d1,P22007221,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,3900 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/02/09 15:11:00+00,2022,2,9,10,Wednesday,35.798910258,-78.5706073219999,RPD,2023/05/25 20:55:17.590+00
-8759948.5560495,4284076.91249874,667795,f0f1617f-e116-4efe-bc37-839a9b210166,P22007222,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,3100 BLOCK EXACTA LN,RALEIGH,RALEIGH,Northwest,2022/02/09 14:51:00+00,2022,2,9,9,Wednesday,35.879671135,-78.69195676,RPD,2022/02/10 05:39:20.483+00
-8757904.22881555,4274106.76620758,667796,b0f5a99c-4f0f-44ae-8f43-dc7bb8c258d2,P22007226,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,1400 BLOCK BANBURY RD,RALEIGH,RALEIGH,Southwest,2022/02/09 15:54:00+00,2022,2,9,10,Wednesday,35.8070692320001,-78.6735922559999,RPD,2022/02/15 15:56:36.067+00
-8755388.7411689,4264211.80587722,667799,1763f7d5-3657-487f-9b3f-549971d79bf1,P22007230,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,3300 BLOCK OLYMPIA DR,RALEIGH,RALEIGH,Southeast,2022/02/09 15:06:00+00,2022,2,9,10,Wednesday,0,0,RPD,2024/04/26 11:39:45.520+00
-8755153.50638693,4266144.44579422,667803,f20e5911-28f4-48a4-9b96-4ff93f2c0125,P22007245,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,2500 BLOCK S SAUNDERS ST,RALEIGH,RALEIGH,Southeast,2022/02/09 15:26:00+00,2022,2,9,10,Wednesday,35.7490404640001,-78.648882096,RPD,2022/02/10 05:40:33.277+00
-8743085.42673645,4283532.7974232,667809,10edc2bb-a39b-4c75-b93e-68f94c028780,P22007258,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,7400 BLOCK LOUISBURG RD,RALEIGH,RALEIGH,North,2022/02/09 18:19:00+00,2022,2,9,13,Wednesday,35.8757106420001,-78.540472692,RPD,2022/02/10 13:10:52.480+00
-8755327.95404775,4264378.70806281,667817,4438cd1f-b92c-4c9b-821e-2cfb7a130c73,P22007271,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,3200 BLOCK S WILMINGTON ST,RALEIGH,RALEIGH,Southeast,2022/02/09 19:31:00+00,2022,2,9,14,Wednesday,35.7361661690001,-78.6504491859999,RPD,2022/02/10 05:42:12.003+00
-8747344.07564026,4281169.5307043,667822,0aa44268-756d-4f74-b0d6-bd593fbae13a,P22007294,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,5200 BLOCK GREENS DAIRY RD,RALEIGH,RALEIGH,Northeast,2022/02/09 21:04:00+00,2022,2,9,16,Wednesday,35.85850665,-78.5787287859999,RPD,2022/04/15 23:17:46.830+00
-8752994.40697686,4264687.20062664,667824,ace04c86-7045-4305-aa3b-6a609cde8a54,P22007296,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,3100 BLOCK GARNER RD,RALEIGH,RALEIGH,Southeast,2022/02/09 21:35:00+00,2022,2,9,16,Wednesday,35.738415591,-78.629486576,RPD,2022/02/10 05:42:36.443+00
-8755924.22599088,4270481.89553495,667826,39b4c0ec-8f7f-4930-a63a-2b986a950d45,P22007303,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,800 BLOCK WEST MORGAN ST,RALEIGH,RALEIGH,Southwest,2022/02/09 22:31:00+00,2022,2,9,17,Wednesday,35.7806567100001,-78.655805588,RPD,2022/02/18 14:16:48.440+00
-8751998.1057719,4281949.9875323,667828,91935902-d487-4456-824c-4f794e7fb14f,P22007311,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,"1100 BLOCK LOGGER COURT,",RALEIGH,RALEIGH,North,2022/02/09 22:45:00+00,2022,2,9,17,Wednesday,35.864188594,-78.62053665,RPD,2022/02/10 13:34:30.640+00
-8771844.80282268,4287126.10927942,667829,17f64352-b70c-4bf1-b386-9e0575008a9f,P22007313,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,9400 BLOCK BRIER CREEK PKWY,RALEIGH,RALEIGH,Northwest,2022/02/09 22:47:00+00,2022,2,9,17,Wednesday,35.901861898,-78.798822563,RPD,2022/02/10 14:27:43.390+00
-8748843.95349364,4266391.46662437,667831,8960c029-dd38-4984-abfb-68288dec5663,P22007317,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,3200 BLOCK WARM SPRINGS LA,RALEIGH,RALEIGH,Southeast,2022/02/09 23:06:00+00,2022,2,9,18,Wednesday,35.7508413690001,-78.5922024179999,RPD,2022/02/10 05:43:28.247+00
-8751086.5921703,4270678.01365344,667839,dfc2ce95-0669-4215-8665-873956d1b5d4,P22007334,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,200 BLOCK COLLETON RD,RALEIGH,RALEIGH,Southeast,2022/02/09 23:29:00+00,2022,2,9,18,Wednesday,35.7820859440001,-78.612348384,RPD,2022/04/27 20:15:03.397+00
-8745505.54118672,4272942.49287664,667841,96bf6236-bb0e-4654-be01-a0de95a404d1,P22007337,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4400 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/02/10 00:06:00+00,2022,2,9,19,Wednesday,35.798586743,-78.5622129499999,RPD,2023/02/18 13:24:35.833+00
-8745505.54118672,4272942.49287664,667849,1efa3338-dd1c-44a6-99e7-ef861d48a3b6,P22007354,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4400 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/02/10 01:32:00+00,2022,2,9,20,Wednesday,35.798586743,-78.5622129499999,RPD,2023/02/18 13:23:54.700+00
-8754841.62268089,4284304.49103778,667863,9d02e5fd-8de8-432b-bd6f-247fa7405858,P22007374,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,7400 BLOCK SIX FORKS RD,RALEIGH,RALEIGH,North,2022/02/10 04:15:00+00,2022,2,9,23,Wednesday,35.8813275700001,-78.6460803969999,RPD,2022/02/11 02:21:07.369+00
-8745110.17209273,4264262.49490196,667947,581d8c30-0520-4fda-962d-f4478b5aa8f4,P22007467,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,5300 BLOCK ERAMOSA DR,RALEIGH,RALEIGH,Southeast,2022/02/10 20:10:00+00,2022,2,10,15,Thursday,0,0,RPD,2025/02/28 14:24:01.733+00
-8744881.74104672,4272826.93345692,667992,5aad2580-269f-4e07-919d-20e725dd16e0,P22007401,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,4700 BLOCK NEW BERN AV,RALEIGH,RALEIGH,Southeast,2022/02/10 13:52:00+00,2022,2,10,8,Thursday,0,0,RPD,2024/03/16 16:30:24.777+00
-8748099.54180231,4277056.20266667,667994,a8dfc7b1-8ae2-458a-a57d-03f0f080ef68,P22007405,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,3500 BLOCK CAPITAL BLVD,RALEIGH,RALEIGH,Northeast,2022/02/10 14:18:00+00,2022,2,10,9,Thursday,35.8285537420001,-78.585515254,RPD,2022/02/13 19:45:52.020+00
-8745954.87618873,4272991.31882369,667997,57992eb5-a6ef-4570-9fc9-19c1e2b95cf0,P22007415,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4100 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/02/10 14:58:00+00,2022,2,10,9,Thursday,35.7989424900001,-78.5662493949999,RPD,2023/02/18 13:43:16.747+00
-8747493.67456436,4279247.82034144,668008,fa47d99f-174d-4b4a-aa3e-1509c2e2e6b8,P22007438,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4600 BLOCK CAPITAL BLVD,RALEIGH,RALEIGH,Northeast,2022/02/10 14:51:00+00,2022,2,10,9,Thursday,35.844514325,-78.580072656,RPD,2022/02/17 05:54:01.003+00
-8759810.46032499,4278306.08402326,668013,b9d1e93b-9bed-43a9-b607-5daa63133552,P22007454,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,EDWARDS MILL RD  &  MILL VILLAGE RD,RALEIGH,RALEIGH,Northwest,2022/02/10 18:56:00+00,2022,2,10,13,Thursday,35.837656469,-78.690716225,RPD,2022/02/13 19:48:00.327+00
-8745505.54118672,4272942.49287664,668019,2a0c21de-2b16-4084-81cc-acbbe2bc7465,P22007468,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4400 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/02/10 20:11:00+00,2022,2,10,15,Thursday,35.798586743,-78.5622129499999,RPD,2023/02/18 13:22:06.887+00
-8751069.31950415,4278170.508473,668023,40872da0-a00f-41d3-85aa-d537eeee6492,P22007484,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,1700 BLOCK NEW HOPE CHURCH RD,RALEIGH,RALEIGH,North,2022/02/10 20:53:00+00,2022,2,10,15,Thursday,35.83666914,-78.612193221,RPD,2022/02/13 19:48:54.593+00
-8758197.21147392,4271601.33042682,668028,99de3f41-a217-42ba-9203-6e4caca74fca,P22007489,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,100 BLOCK FRIENDLY DRIVE,RALEIGH,RALEIGH,Southwest,2022/02/10 21:56:00+00,2022,2,10,16,Thursday,35.788814379,-78.676224164,RPD,2022/02/11 15:50:39.667+00
-8751145.34893525,4271506.0371556,668032,91ee2d03-f930-4949-b0fe-8e98b2cf3cbe,P22007501,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,2000 BLOCK MILBURNIE RD,RALEIGH,RALEIGH,Southeast,2022/02/10 21:29:00+00,2022,2,10,16,Thursday,35.78811998,-78.612876205,RPD,2022/02/17 05:54:44.550+00
-8745505.54118672,4272942.49287664,668039,fc5dce23-9542-48a5-917f-2b4b2afe8ac8,P22007515,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4400 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/02/10 22:48:00+00,2022,2,10,17,Thursday,35.798586743,-78.5622129499999,RPD,2023/02/18 13:21:22.907+00
-8763810.92114707,4266893.50713036,668047,152a4e75-4bda-443f-988e-ec16bc201004,P22007537,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,1800 BLOCK VIENNA WOODS DRIVE,RALEIGH,RALEIGH,Southwest,2022/02/11 01:07:00+00,2022,2,10,20,Thursday,35.754501369,-78.726652976,RPD,2022/02/12 17:07:40.397+00
-8763309.8092235,4271107.04004288,668053,d692dbf2-e417-419b-92d1-e1fd50cf854b,P22007547,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,5600 BLOCK WESTERN BLVD,RALEIGH,RALEIGH,Southwest,2022/02/11 00:18:00+00,2022,2,10,19,Thursday,35.7852124350001,-78.722151411,RPD,2022/02/17 05:55:17.523+00
